epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8932,2.16061,4.22061,1.90794,0.00333,1,0.29041,0.08899,1.43456,3.50207,1.37136,0.0003334,0.0003334,0.0003334
2,34.4981,1.62656,2.95831,1.50662,0.00388,1,0.40767,0.11815,1.57527,3.39623,1.34966,0.000681215,0.000681215,0.000681215
3,40.6424,1.63308,2.4733,1.5404,0.00335,1,0.51062,0.24921,1.61591,2.95972,1.61315,0.00102672,0.00102672,0.00102672
4,46.9652,1.61895,2.3398,1.54478,0.44256,0.2,0.26632,0.12331,2.09111,3.28605,3.16401,0.00136991,0.00136991,0.00136991
5,52.6402,1.63125,2.16628,1.55437,0.00537,0.9,0.40519,0.21209,2.29142,13.5594,2.39568,0.001645,0.001645,0.001645
6,58.802,1.63059,1.96727,1.56772,0.73213,0.52172,0.64536,0.341,2.37685,2.2747,2.33592,0.00163949,0.00163949,0.00163949
7,64.3919,1.63083,1.92713,1.56242,0.87375,0.8,0.88591,0.52506,1.45162,1.58138,1.54576,0.00163399,0.00163399,0.00163399
8,70.7486,1.57338,1.75683,1.52616,0.61704,0.72624,0.77744,0.39005,1.71994,2.1323,1.73119,0.00162849,0.00162849,0.00162849
9,76.5415,1.57143,1.64245,1.54026,0.72975,0.71383,0.78691,0.46953,1.56419,1.75044,1.4756,0.00162299,0.00162299,0.00162299
10,83.1355,1.57862,1.64532,1.49914,0.89457,0.777,0.895,0.4958,1.74045,1.88008,1.61866,0.00161749,0.00161749,0.00161749
11,89.4281,1.53657,1.56847,1.51611,0.93534,0.9,0.89536,0.46537,1.68983,2.60938,1.5186,0.00161199,0.00161199,0.00161199
12,95.9612,1.5559,1.4848,1.51951,0.71623,0.8,0.7451,0.38744,1.7369,1.63154,1.56089,0.00160649,0.00160649,0.00160649
13,101.772,1.59871,1.46402,1.55389,0.44252,0.3,0.28045,0.08192,2.30933,3.84114,2.26637,0.00160099,0.00160099,0.00160099
14,108.354,1.52146,1.38614,1.49121,0.85013,0.87466,0.89286,0.53593,1.5924,1.26026,1.40939,0.00159549,0.00159549,0.00159549
15,113.708,1.55877,1.3353,1.49218,0.99131,0.99919,0.995,0.58888,1.42628,0.83913,1.34338,0.00158998,0.00158998,0.00158998
16,120.429,1.52582,1.34568,1.49188,0.92194,0.75881,0.89542,0.55255,1.44199,0.98034,1.40339,0.00158448,0.00158448,0.00158448
17,126.114,1.55759,1.35505,1.50912,0.7236,0.8,0.80273,0.45339,1.71329,1.30462,1.52851,0.00157898,0.00157898,0.00157898
18,132.366,1.53656,1.26949,1.49485,0.94798,0.88966,0.915,0.5025,1.60261,1.04177,1.39762,0.00157348,0.00157348,0.00157348
19,138.336,1.49704,1.1969,1.44506,0.98534,0.9,0.96643,0.56093,1.52618,0.94565,1.38635,0.00156798,0.00156798,0.00156798
20,144.894,1.50366,1.20942,1.49708,0.98655,0.9,0.89873,0.4972,1.67348,0.87865,1.45216,0.00156248,0.00156248,0.00156248
21,150.57,1.4496,1.19563,1.4284,0.96088,0.8,0.90441,0.55647,1.48141,0.82353,1.36831,0.00155698,0.00155698,0.00155698
22,156.719,1.52457,1.25328,1.47141,0.94792,0.7,0.78395,0.47643,1.61906,1.06087,1.50244,0.00155148,0.00155148,0.00155148
23,162.681,1.47355,1.1308,1.41411,0.88157,0.9,0.89542,0.52449,1.46167,0.87269,1.29226,0.00154598,0.00154598,0.00154598
24,168.554,1.46297,1.11129,1.45841,0.75444,0.8,0.77959,0.46448,1.55651,1.14079,1.39114,0.00154047,0.00154047,0.00154047
25,174.761,1.50693,1.1562,1.50404,0.94006,0.9,0.97833,0.59381,1.51821,0.79896,1.34602,0.00153497,0.00153497,0.00153497
26,181.564,1.4559,1.07215,1.43107,0.9837,1,0.995,0.60395,1.49593,0.73156,1.32132,0.00152947,0.00152947,0.00152947
27,187.783,1.44898,1.07334,1.42681,0.95492,0.99861,0.995,0.62059,1.34647,0.67973,1.21942,0.00152397,0.00152397,0.00152397
